Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,FotoB,Incidencias,Fin1T,Fin2T,Fin1E,Fin2E
02/07/1978,Rendo,visitante,derrota,0,1,Quilmes,16° fecha del Campeonato Metropolitano 1978,Quilmes,Feola,"Jesús Borzi; Abelardo Cheves, Rodolfo Vilanova, René Daulte y Jorge Carrascosa; Carlos De Marta (79 Domingo Iéllamo), Osvaldo Rodríguez y José Úbeda; Luis Cabrera (63 Dante Sanabria), Jorge Sanabria y Nicolás Gómez de Armas.","Palacios; Zárate, Milozzi, Recavarren y Medina; Bianchini, Gáspari y Salinas; Gómez, Filardo y Andreuchi.",foto,50 GOL Gómez (QAC)</br>82 EXP Osvaldo Rodríguez (HUR),45,90,0,0
12/07/1978,Rendo,local,victoria,2,1,Platense,17° fecha del Campeonato Metropolitano 1978,Tomás A. Ducó,Coradina,"Jesús Borzi; Abelardo Cheves, René Daulte, José Galván y Jorge Carrascosa; José Úbeda, Rodolfo Vilanova y Miguel Gallardo (24 Dante Sanabria); René Houseman (86 Nicolás Gómez de Armas), Jorge Sanabria y Miguel Rodríguez.","J Pérez; Gianetti, Perematue, Belloni y Ginanni; Morelli, Mastromauro (81 Niro) y O Pérez; Petti, Ríos y Juárez.",foto,57 GOL Rodolfo Vilanova (HUR) -penal-</br>79 GOL Jorge Sanabria (HUR)</br>89 GOL Ginanni (PLA),45,90,0,0
14/07/1978,Rendo,visitante,empate,0,0,Banfield,18° fecha del Campeonato Metropolitano 1978,Florencio Sola,Ithurralde,"Jesús Borzi; Abelardo Cheves, René Daulte, José Galván y Jorge Carrascosa; José Úbeda, Rodolfo Vilanova y Rubén Romano (81 Dante Sanabria); René Houseman, Jorge Sanabria y Miguel Rodríguez.","Cannataro; Moris, D'Angelo, Sotelo y Lo Gatto; Gigli (46 Santillán), Lodico y Corvo; Cerqueiro, Telli (72 Jara) y González.",foto,1° Tiempo: Banfield 0x0 Huracán,45,90,0,0
23/07/1978,Rendo,local,victoria,4,1,Chacarita Juniors,19° fecha del Campeonato Metropolitano 1978,Tomás A. Ducó,Ducatelli,"Héctor Baley; Abelardo Cheves, José Galván, René Daulte y Jorge Carrascosa; José Úbeda (46 Nicolás Gómez de Armas), Rodolfo Vilanova y Rubén Romano; René Houseman, Jorge Sanabria y Miguel Rodríguez (78 Víctor Longo).","Vivalda; O Gizzi, Pena, Maletti y H González; Alarcón, Ischia y Astudillo; A Gizzi, Abate y Fridman.",foto,1 GOL Ischia (CHJ)</br>10 LES Ducatelli -dirige Iribar-</br>23 GOL Rodolfo Vilanova (HUR) -penal-</br>50 GOL Jorge Sanabria (HUR)</br>74 EXP René Houseman (HUR)</br>85 EXP Alarcón (CHJ)</br>86 GOL Rodolfo Vilanova (HUR) -penal-</br>88 GOL Nicolás Gómez de Armas (HUR),45,90,0,0
30/07/1978,Rendo,visitante,derrota,0,2,Rosario Central,20° fecha del Campeonato Metropolitano 1978,Parque Independencia (Rosario),Barreiro,"Jesús Borzi; Abelardo Cheves, René Daulte, José Galván y Jorge Carrascosa; Clide Díaz, Rodolfo Vilanova y Rubén Romano; Luis Cabrera (46 Nicolás Gómez de Armas), Jorge Sanabria y Miguel Rodríguez.","Ferrero; González (66 Carlos Aimar), Craiyacich, Van Tuyne y García; Coullery, Mancinelli y Zavagno; Bóveda, Trama y Orte.",foto,52 GOL García (RCE)</br>58 GOL Orte (RCE),45,90,0,0
07/08/1978,Rendo,local,derrota,2,3,San Lorenzo de Almagro,21° fecha del Campeonato Metropolitano 1978,Tomás A. Ducó,Teodoro Nitti,"Jesús Borzi; Abelardo Cheves, Clide Díaz, José Galván y Jorge Carrascosa; Miguel Gallardo, Rodolfo Vilanova y Rubén Romano; René Houseman, Jorge Sanabria y Miguel Rodríguez (63 Nicolás Gómez de Armas).","Ricardo La Volpe; Sergio Villar, Jorge Olguin, Sanz y Lupo; Collavini, Claudio Marangoni y Rizzi (85 Miguel A. Rodríguez); Lorea, Torres y Meglio.",foto,3 GOL Meglio (SLA)</br>38 GOL Meglio (SLA)</br>45 GOL Rodolfo Vilanova (HUR) -penal-</br>46 GOL Rubén Romano (HUR)</br>60 GOL Collavini (SLA)</br>72 EXP Miguel Gallardo (HUR),45,90,0,0
09/08/1978,Rendo,local,derrota,0,1,All Boys,22° fecha del Campeonato Metropolitano 1978,Tomás A. Ducó,Ithurralde,"Jesús Borzi; Miguel Flores, Clide Díaz, José Galván y Jorge Carrascosa; Osvaldo Rodríguez, Rodolfo Vilanova y Rubén Romano; Néstor Candedo (59 Dante Sanabria), Jorge Sanabria y Nicolás Gómez de Armas.","Mércuri; Sánchez, Dragonetti, R Rodríguez y Mier Segovia; Peracca, Medina y Saggioratto (81 Palka); Luna, Nieto y Morandini.",foto,74 GOL Luna (ABO),45,90,0,0
11/08/1978,Rendo,visitante,victoria,2,0,Málaga (España),Semifinal del Trofeo Costa del Sol 1978 (amistoso),La Rosaleda (Málaga),desconocido,"Héctor Baley; Abelardo Cheves, Víctor Longo, René Daulte y Patricio Wade; Miguel Gallardo, Carlos De Marta (Héctor Ures) y José Úbeda (Oscar Ferrero); René Houseman, Luis Cabrera y Miguel Rodríguez.  Alberto Domengoni.","Moras; Búa, Arnez, Precia y Macías (Salguero); Cantaruti, Nacho y Migueli (Gallardo); Juan Carlos (Carrión), Orozco y Santi.",foto,53 GOL Luis Cabrera (HUR)</br>78 GOL Luis Cabrera (HUR),45,90,0,0
13/08/1978,Rendo,neutral,derrota,1,2,Athletic (España),Final del Trofeo Costa del Sol 1978 (amistoso),La Rosaleda (Málaga),desconocido,"Héctor Baley; Abelardo Cheves, Víctor Longo, René Daulte y Lorenzo Ojeda (Patricio Wade); José Úbeda, Carlos De Marta y Carlos Babington; René Houseman (Alberto Domengoni), Luis Cabrera (Héctor Ures) y Oscar Ferrero.","Zaldúa; Alexanco (Aitor Aguirre), Tirapu (Sarabia), Astrain y Churruca; Dani, Núñiez y Carlos; Escalza, Angote (Rojo) y Vidal.",foto,39 GOL Carlos Babington (HUR)</br>86 GOL Rojo (ATH)</br>90 Athletic 1x1 Huracán</br>-Tiempo Extra-</br>96 GOL Dani (ATH)</br>EXP Carlos De Marta (HUR)</br>EXP Carlos Babington (HUR),45,90,0,0
13/08/1978,Moure,visitante,derrota,0,1,Unión (Santa Fe),23° fecha del Campeonato Metropolitano 1978,Unión (Santa Fe),Romero,"Jesús Borzi; Miguel Flores, Clide Díaz, José Galván y Jorge Carrascosa; Osvaldo Rodríguez, Rodolfo Vilanova y Rubén Romano; Néstor Candedo, Jorge Sanabria (63 Dante Sanabria) y Nicolás Gómez de Armas.","Biasutto; López, Mazzoni, Merlo y Bottaniz; Rosetti (76 Buriano), Telch y Ribeca; Moreno (61 Stehlik), Giachello y Alí.",foto,88 Bottaniz (UNI) -penal-,45,90,0,0
16/08/1978,Rendo,visitante,derrota,1,2,Middlesbrough (Inglaterra),Amistoso,Ayresome Park (Middlesbrough),-,"Houseman","Stewart; Ashcroft; Mahoney y Woof.",foto,47 GOL Houseman (HUR)</br>GOL Woof (MID)</br>GOL Ashcroft (MID),45,90,0,0
17/08/1978,Moure,local,empate,2,2,Gimnasia y Esgrima (La Plata),24° fecha del Campeonato Metropolitano 1978,Tomás A. Ducó,Pestarino,"Jesús Borzi; Miguel Flores, Clide Díaz, José Galván y Jorge Carrascosa; Rubén Romano, Rodolfo Vilanova y Osvaldo Rodríguez; Néstor Candedo (50 Dante Sanabria), Jorge Sanabria y Nicolás Gómez de Armas.","Enrique Vidallé; Touriño, Pellegrini, Osvaldo Gutiérrez y Casanueva; Della Savia, Avelino Verón y Solari (46 Forgués); Fornari, Jorge Cragno y Juan M Tutino.",foto,12 GOL Pellegrini (GLP)</br>15 GOL Nicolás Gómez de Armas (HUR)</br>31 GOL Nicolás Gómez de Armas (HUR)</br>63 GOL Avelino Verón (GLP),45,90,0,0
20/08/1978,Moure,visitante,derrota,0,1,Racing Club,25° fecha del Campeonato Metropolitano 1978,El Cilindro,Feola,"Jesús Borzi; Miguel Flores, Clide Díaz, José Galván y Jorge Carrascosa; Osvaldo Rodríguez (85 Antonio Zinna), Rodolfo Vilanova y Rubén Romano; Dante Sanabria, Jorge Sanabria y Nicolás Gómez de Armas.","Agustín Cejas; Escobar, Killer, García y RO Díaz; Julio Olarticoechea, Magalhaes y Cordero; Baru, Roque Avallay y RO Díaz.",foto,6 GOL Killer (RAC),45,90,0,0
21/08/1978,Rendo,visitante,derrota,0,1,Valencia (España),1° fecha del Trofeo Naranja 1978 (amistoso),Luis Casanova (Valencia),Pes Pérez (España),"Héctor Baley; Abelardo Cheves, Carlos De Marta, René Daulte y Lorenzo Ojeda; José Úbeda (Miguel Gallardo), Patricio Wade (Carlos Domengoni) y Carlos Babington; René Houseman, Luis Cabrera y Oscar Ferrero.","José Manzanedo; Juan D Cordero, Manuel Botubot, Rainer Bonhof y José Cerveró; Enrique Saura, Pepe Carrete y Carlos Diarte; Eufemio Cabral (46 Daniel Solsona), Darío Felman (46 Ricardo Arias) y Mario Kempes.",foto,58 GOL Bonhof (VAL) -penal-,45,90,0,0
22/08/1978,Rendo,neutral,victoria,4,3,Ajax (Holanda),2° fecha del Trofeo Naranja 1978 (amistoso),Luis Casanova (Valencia),desconocido,"Héctor Baley; Abelardo Cheves, Carlos De Marta, René Daulte y Lorenzo Ojeda; José Úbeda, Patricio Wade y Carlos Babington; René Houseman, Luis Cabrera y Oscar Ferrero.","Piet Schkyvers; Wim Meutstege, Pim Van Dord, Ruud Krol y Jan Everse; Geert Meyer (Kees Zwamborn), Dick Schoenaker y Simon Tahamata; Ray Clarke, Frank Arnesen (Erwin Cramer (Ruud Kaiser)) y Soeren Lerby",foto,25 GOL René Houseman (HUR) -penal-</br>33 GOL Jan Everse (AJA)</br>39 GOL Soeren Lerby (AJA)</br>43 GOL Oscar Ferrero (HUR)</br><b>1° Tiempo: Huracán 2x2 Ajax</b></br>54 GOL René Houseman (HUR)</br>77 GOL Soeren Lerby (AJA)</br>75 GOL Luis Cabrera (HUR),45,90,0,0
27/08/1978,Rendo,local,empate,1,1,River Plate,26° fecha del Campeonato Metropolitano 1978,Tomás A. Ducó,Roberto Barreiro,"Jesús Borzi; Abelardo Cheves, Clide Díaz, José Galván y Jorge Carrascosa; José Úbeda, Rodolfo Vilanova y Rubén Romano; René Houseman, Jorge Sanabria y Oscar Ferrero.","Landaburu; Azzolini, Pavoni, H Rodríguez y Zeballos; Coudannes, Lonardi y Ramón Díaz; Galletti, Sosa y Coscia.",foto,64 GOL Lonardi (RPL)</br>72 GOL René Houseman (HUR),45,90,0,0
30/08/1978,Rendo,visitante,derrota,0,1,Boca Juniors,27° fecha del Campeonato Metropolitano 1978,La Bombonera,Busca,"Héctor Baley; Abelardo Cheves (62 Lorenzo Ojeda), Clide Díaz, René Daulte y Jorge Carrascosa; José Úbeda, Rodolfo Vilanova y José Galván; René Houseman, Jorge Sanabria y Nicolás Gómez de Armas.","Hugo Gatti; Pernía, Sá, Alves y Bordón; Squeo, Suñé y Salinas (68 Cocco); J Álvarez (46 Rodríguez), C Álvarez y Perotti.",foto,31 EXP Pernía (BJU)</br>31 EXP C Álvarez (BJU)</br>31 EXP José Galván (HUR)</br>31 EXP Jorge Sanabria (HUR)</br>81 GOL Rodríguez (BJU),45,90,0,0
03/09/1978,Rendo,local,empate,0,0,Atlanta,28° fecha del Campeonato Metropolitano 1978,Tomás A. Ducó,Comesaña,"Héctor Baley; Miguel Flores, Clide Díaz, René Daulte y Jorge Carrascosa; Carlos De Marta, Rodolfo Vilanova (46 José Úbeda) y Miguel Gallardo; René Houseman, Néstor Candedo (70 Roberto Pereyra) y Nicolás Gómez de Armas.","Quinteros; Raffaelli, Abdala, Marinich y Pizurica; Carrió, Vázquez y Atondo; Vega (46 Contreras), Curini y Salomone.",foto,1° Tiempo: Huracán 0x0 Atlanta,45,90,0,0
10/09/1978,Rendo,visitante,victoria,5,0,Estudiantes,29° fecha del Campeonato Metropolitano 1978,San Martín,Pestarino,"Héctor Baley; Miguel Flores, Clide Díaz (80 Víctor Longo), René Daulte y Jorge Carrascosa; José Úbeda, Carlos De Marta y Miguel Gallardo; René Houseman, Néstor Candedo y Nicolás Gómez de Armas (87 Rubén Romano).","Peratta; Eduardo March, Jalil, Paz y Cortés; Pafundi, Viveros y Ciccarello; Toloza, Ugarte y Guillermo.",foto,13 GOL Néstor Candedo (HUR)</br>40 GOL Nicolás Gómez de Armas (HUR)</br>54 GOL René Houseman (HUR) -penal-</br>68 GOL René Houseman (HUR)</br>86 GOL René Houseman (HUR)</br>89 EXP Jalil (EST),45,90,0,0
14/09/1978,Rendo,local,victoria,1,0,Newell's Old Boys (Rosario),30° fecha del Campeonato Metropolitano 1978,Tomás A. Ducó,Veiró,"Héctor Baley; Miguel Flores, Clide Díaz, René Daulte y Jorge Carrascosa; José Úbeda, Carlos De Marta y Miguel Gallardo; René Houseman, Néstor Candedo y Nicolás Gómez de Armas (85 Rubén Romano).","Carrasco; Rebottaro, Jara, Capurro y Sperandío; Roque Alfaro (72 Rodríguez), Bulleri y Ramos; Cortez, Héctor Yazalde (55 Aguerópolis) y Sánchez.",foto,20 GOL René Houseman (HUR),45,90,0,0
18/09/1978,Rendo,visitante,empate,0,0,Vélez Sarsfield,31° fecha del Campeonato Metropolitano 1978,José Amalfitani,Barreiro,"Héctor Baley; Miguel Flores, Clide Díaz, René Daulte y Jorge Carrascosa; José Úbeda, Carlos De Marta y Miguel Gallardo; René Houseman, Néstor Candedo y Nicolás Gómez de Armas (68 Rubén Romano).","Julio Falcioni; Malaquin (65 Virgallito), Ruiz, Jorge y Escandon; Iervasi, Pedro Larraquy y Luna (89 Vera); Castro, Roldán y Geoffroy.",foto,53 EXP René Houseman (HUR),45,90,0,0
20/09/1978,Rendo,local,derrota,1,2,Argentinos Juniors,32° fecha del Campeonato Metropolitano 1978,Tomás A. Ducó,Feola,"Héctor Baley; Miguel Flores, Clide Díaz, René Daulte y Jorge Carrascosa; Miguel Gallardo, Carlos De Marta (59 Rubén Romano) y José Úbeda; Néstor Candedo, Jorge Sanabria y Nicolás Gómez de Armas.","Carlos Munutti; Carrizo, Pellerano, Núñez y Minutti; Gauna, Rubén Ríos y Diego Maradona; Favret, Premici (56 García) y Ovelar (81 Paterno).",foto,23 GOL Diego Maradona (AJU) -penal-</br>56 GOL Miguel Flores (HUR) -penal-</br>74 GOL Diego Maradona (AJU) -penal-,45,90,0,0
24/09/1978,Hurtado,visitante,victoria,2,0,Colón (Santa Fe),33° fecha del Campeonato Metropolitano 1978,Cementerio de los Elefantes (Santa Fe),Busca,"Héctor Baley; Miguel Flores, Clide Díaz, René Daulte y Jorge Carrascosa; Patricio Wade, Miguel Gallardo y Oscar Giantomasi; Rubén Romano, Jorge Sanabria (80 Néstor Candedo) y Nicolás Gómez de Armas.","Andrada; A Ojeda, Leroyer, Zimmermann y Fertonani; Mazo (60 Agüero), Roldán y Di Meola; Domine, Luñiz e Imán (66 Vergara).",foto,64 GOL Rubén Romano (HUR)</br>68 GOL Jorge Sanabria (HUR),45,90,0,0
27/09/1978,Hurtado,local,victoria,3,2,Estudiantes (La Plata),34° fecha del Campeonato Metropolitano 1978,Tomás A. Ducó,Comesaña,"Héctor Baley; Miguel Flores, Clide Díaz, René Daulte y Jorge Carrascosa; Patricio Wade, Oscar Giantomasi y Carlos De Marta; Miguel Gallardo, René Houseman y Jorge Sanabria (88 Nicolás Gómez de Armas).","Pezzano; Zanollo, José Brown, Mariano y Herrera; Santecchia, Pedraza (68 Letanú) y López; Patricio Hernández, Hugo Gottardi y Fortunato.",foto,18 GOL Miguel Gallardo (HUR)</br>34 GOL Miguel Gottardi (ELP)</br>37 GOL Jorge Sanabria (HUR)</br>40 GOL René Houseman (HUR) -penal-</br>85 EXP Hugo Gottardi (ELP)</br>87 GOL Fortunato (ELP),45,90,0,0
01/10/1978,Hurtado,visitante,empate,1,1,Independiente,35° fecha del Campeonato Metropolitano 1978,Doble Visera,Ithurralde,"Héctor Baley; Miguel Flores, Clide Díaz, René Daulte y Jorge Carrascosa; Patricio Wade, Oscar Giantomasi y Carlos De Marta; Miguel Gallardo, Jorge Sanabria y Néstor Candedo (46 Dante Sanabria).","Esteban Pogany; Pagnanini, Villaverde, Enzo Trossero y Pérez; Omar Larrosa, Carlos Leone y Ricardo Bochini; Antonio Alzamendi, Giagischia (46 Biondi) y Magallanes.",foto,33 GOL Jorge Sanabria (HUR)</br>55 GOL Enzo Trossero (IND),45,90,0,0
11/10/1978,Hurtado,local,victoria,3,1,Quilmes,37° fecha del Campeonato Metropolitano 1978,Tomás A. Ducó,Barreiro,"Héctor Baley; Miguel Flores, Clide Díaz, René Daulte y Jorge Carrascosa; José Úbeda (84 Rubén Romano), Carlos De Marta y Miguel Gallardo; René Houseman, Jorge Sanabria y Alberto Domengoni (61 Patricio Wade).","Palacios; Alberto Fanesi, Milozzi, Raschia y Gaño; Bianchini, Gáspari y Salinas; Milano (59 Merlo), Filardo y Andreuchi.",foto,18 GOL Alberto Domengoni (HUR)</br>3 GOL René Houseman (HUR)</br>46 GOL José Úbeda (HUR)</br>58 GOL Milozzi (QAC),45,90,0,0
15/10/1978,Hurtado,visitante,empate,0,0,Platense,38° fecha del Campeonato Metropolitano 1978,Villa Crespo,Alberto Clerc,"Héctor Baley; Miguel Flores, Clide Díaz, René Daulte y Jorge Carrascosa; Oscar Giantomasi, Carlos De Marta y Miguel Gallardo; Alberto Domengoni (57 Rubén Romano), Jorge Sanabria (78 Patricio Wade) y René Houseman.","J Pérez; Gianetti, Juárez, Peremateu y Grimoldi; Morelli, Mastromauro y O Pérez; Amarillo, Aguirre y Ríos.",foto,1° Tiempo: Platense 0x0 Huracán,45,90,0,0
19/10/1978,Hurtado,local,empate,2,2,Banfield,39° fecha del Campeonato Metropolitano 1978,Tomás A. Ducó,Ithurralde,"Héctor Baley; Miguel Flores, Clide Díaz, René Daulte y Jorge Carrascosa; Miguel Gallardo, Carlos De Marta y Rubén Romano; René Houseman, Jorge Sanabria y Alberto Domengoni (60 Néstor Candedo).","Cannataro (68 Baglioni); Ruiz, Moris, Peñaloza y Lo Gatto; Gigli, Sotelo (62 D'Angelo) y Lodico; Cerqueiro, Corvo y González.",foto,15 GOL Corvo (BAN) -penal-</br>19 GOL René Houseman (HUR)</br>66 GOL Miguel Gallardo (HUR)</br>81 GOL González (BAN),45,90,0,0
22/10/1978,Hurtado,visitante,derrota,0,2,Chacarita Juniors,40° fecha del Campeonato Metropolitano 1978,San Martín,Feola,"Jesús Borzi; Miguel Flores, Clide Díaz, René Daulte y Jorge Carrascosa; José Úbeda, Carlos De Marta y Miguel Gallardo (66 Rubén Romano); Alberto Domengoni (46 Miguel Rodríguez), Jorge Sanabria y René Houseman.","Vivalda; González (58 Pucheta), Pena, Landolfi y Lavorato; Astudillo, Recúpero y Tarantino; Ischia, Delgado y Escudero.",foto,15 GOL Ischia (CHJ)</br>80 GOL Escudero (CHJ),45,90,0,0
25/10/1978,Moure,local,derrota,0,1,Rosario Central,41° fecha del Campeonato Metropolitano 1978,Tomás A. Ducó,Teodoro Nitti,"Jesús Borzi; Miguel Flores, Víctor Longo, René Daulte y Jorge Carrascosa; Miguel Gallardo (73 Patricio Wade), Oscar Giantomasi y Rubén Romano; Néstor Candedo, Dante Sanabria y Alberto Domengoni (46 Miguel Rodríguez).","Zelada; Magistral, Aimar, Edgardo Bauza y García; Manzi, Coullery y Pérez; Bóveda, Trama y Agonil.",foto,72 GOL Edgardo Bauza (RCE),45,90,0,0
29/10/1978,Moure,visitante,derrota,1,2,San Lorenzo de Almagro,42° fecha del Campeonato Metropolitano 1978,Gasómetro,Abel Gnecco,"Jesús Borzi; Miguel Flores, Víctor Longo, Clide Díaz y Jorge Carrascosa; Miguel Gallardo, Oscar Giantomasi y Rubén Romano (79 Patricio Wade); René Houseman, Jorge Sanabria y Miguel Rodríguez (61 Néstor Candedo).","Ricardo La Volpe; Sergio Villar, Jorge Olguin, Sanz y Lupo; Collavini, Claudio Marangoni y Fischer; Rizzi, Torres y Simaldone.",foto,36 GOL René Houseman (HUR)</br>39 GOL Torres (SLA)</br>53 GOL Simaldone (SLA)</br>82 EXP Miguel Gallardo (HUR),45,90,0,0
05/11/1978,Cayetano,local,empate,1,1,Boca Juniors,1° fecha del Campeonato Nacional 1978,Tomás A. Ducó,Abel Gnecco,"Jesús Borzi; Abelardo Cheves, Víctor Longo, Clide Díaz y Jorge Carrascosa; Rubén Romano, Carlos De Marta y Carlos Babington; René Houseman, Jorge Sanabria y Néstor Candedo (69 Nicolás Gómez de Armas).","López; Squeo (71 Alonso), Sá, Mouzo y Suárez; Benítez, Suñé y Potente; J Álvarez (46 C Álvarez), Salinas y Perotti.",foto,3 GOL Carlos Babington (HUR) -penal-</br>25 EXP Salinas (BJU)</br>46 GOL Mouzo (BJU) -penal-,45,90,0,0
08/11/1978,Cayetano,visitante,victoria,3,2,Chacarita Juniors,2° fecha del Campeonato Nacional 1978,San Martín,Del Bello,"Eduardo Jurkevicius; Abelardo Cheves, Víctor Longo, Clide Díaz y Jorge Carrascosa; Rubén Romano, Carlos De Marta y Carlos Babington; René Houseman, Dante Sanabria y Jorge Sanabria.","Oscar Vijande; González, Pena, Landolfi y Francisco Lavorato; Astudillo, Recúpero y Tarantino; Benítez, Delgado y Fridman.",foto,21 GOL René Houseman (HUR)</br>33 GOL Fridman (CHJ)</br>56 GOL Delgado (CHJ)</br>60 GOL René Houseman (HUR)</br>79 GOL René Houseman (HUR),45,90,0,0
12/11/1978,Cayetano,local,victoria,2,0,Patronato (Paraná),3° fecha del Campeonato Nacional 1978,Tomás A. Ducó,Melidoni,"Jesús Borzi; Abelardo Cheves, Víctor Longo, Clide Díaz y Jorge Carrascosa; Nicolás García (68 Rubén Romano), Juan E Strak y Carlos Babington; René Houseman, Jorge Sanabria y Dante Sanabria.","Ibarra; Isla, Mudry, Pralong y Sosa; Aguilar, Brunengo y Pesoa (73 José Díaz); Peiffer, Solanas y Borgna (61 Taboada Rojas).",foto,44 GOL Carlos Babington (HUR)</br>85 GOL René Houseman (HUR),45,90,0,0
15/11/1978,Cayetano,visitante,victoria,4,2,Gimnasia y Esgrima (Mendoza),4° fecha del Campeonato Nacional 1978,Mundialista (Mendoza),Marsiglia,"Jesús Borzi; Abelardo Cheves, Víctor Longo, Clide Díaz y Jorge Carrascosa; Miguel Gallardo (65 Rubén Romano), Juan E Strak y Carlos Babington; René Houseman, Jorge Sanabria y Dante Sanabria.","Pedone; Mémoli, Vicino, Guayama y Carlos Sánchez (39 Rafael Giardini); Juan C Gutiérrez (69 Raúl Rogel), Guillermo Herrera y Héctor Suárez; Raúl Muñoz, Orlando Genolet y Jorge Pereyra.",foto,3 GOL Carlos Babington (HUR)</br>5 GOL Orlando Genolet (GEM)</br>35 GOL Jorge Pereyra (GEM)</br>52 GOL Jorge Sanabria (HUR)</br>70 GOL Dante Sanabria (HUR)</br>79 GOL Jorge Sanabria (HUR),45,90,0,0
19/11/1978,Cayetano,local,victoria,6,1,Platense,5° fecha del Campeonato Nacional 1978,Tomás A. Ducó,Romero,"Jesús Borzi; Abelardo Cheves, Víctor Longo, Clide Díaz y Jorge Carrascosa; Miguel Gallardo, Juan E Strak y Carlos Babington (62 Rubén Romano); René Houseman (53 Nicolás García), Jorge Sanabria y Dante Sanabria.","Delprete (46 Daniele); Gianetti, Juárez, Belloni y Grimoldi; Morelli, Mastromauro y Gile; Ríos (46 Moreno), Petti y M Juárez.",foto,28 GOL Dante Sanabria (HUR)</br>29 GOL Grimoldi (PLA)</br>34 GOL Carlos Babington (HUR)</br>38 GOL Jorge Sanabria (HUR)</br>39 EXP Grimoldi (PLA)</br>42 GOL Dante Sanabria (HUR)</br>45 GOL Dante Sanabria (HUR)</br>60 GOL Carlos Babington (HUR),45,90,0,0
22/11/1978,Cayetano,visitante,derrota,1,2,Unión (Santa Fe),6° fecha del Campeonato Nacional 1978,Unión (Santa Fe),Barreiro,"Jesús Borzi; Abelardo Cheves, Víctor Longo, Clide Díaz y Jorge Carrascosa; Miguel Gallardo, Juan E Strak y Carlos Babington; René Houseman, Jorge Sanabria y Dante Sanabria.","Biasutto; López (63 Salas); Merlo, Mazzoni y Bottaniz; Alberto, Telch y Pitarch; Ribeca, Arroyo y Alí.",foto,3 GOL Pitatch (UNI)</br>46 GOL Dante Sanabria (HUR)</br>59 EXP René Houseman (HUR)</br>88 EXP Carlos Babington (HUR)</br>89 GOL Pitarch (UNI),45,90,0,0
26/11/1978,Cayetano,local,empate,1,1,Atl. Tucumán,7° fecha del Campeonato Nacional 1978,Tomás A. Ducó,Ithurralde,"Jesús Borzi; Miguel Flores, Víctor Longo, Clide Díaz y Jorge Carrascosa; Miguel Gallardo (84 José Galván), Juan E Strak y Antonio García Ameijenda; Rubén Romano, Jorge Sanabria (28 Héctor D López) y Dante Sanabria.","Ruiz; Burgos, Millicay, Guerrero y Bulacio; Castro, Valoy y Palomba (76 Rubiola); Gómez, Mecca (70 Leguizamón) y Barrientos.",foto,7 GOL Jorge Sanabria (HUR) -penal-</br>19 GOL Palomba (TUC),45,90,0,0
29/11/1978,Cayetano,visitante,victoria,4,1,Boca Juniors,8° fecha del Campeonato Nacional 1978,La Bombonera,Jorge Romero,"Jesús Borzi; Miguel Flores, Víctor Longo, Clide Díaz y Jorge Carrascosa; Miguel Gallardo, Juan E Strak y Carlos Babington; Rubén Romano (60 René Daulte), Héctor D López (76 Antonio García Ameijenda) y Dante Sanabria.","Oscar López; José Suárez, José Tesare, Ricardo Franceschini y Ricardo Alonso; Jorge Quiroz (63 Julio Barrera), Abel Álves y Carlos Salguero; Carlos Toloza, Carlos Álvarez y Jorge Rio (46 Armando Husillos).",foto,19 GOL Dante Sanabria (HUR)</br>20 GOL Héctor D López (HUR)</br>24 GOL Dante Sanabria (HUR)</br>1° Tiempo: Boca Juniors 0x3 Huracán</br>50 EXP José Suárez (BJU)</br>52 GOL Carlos Álvarez (BJU)</br>66 EXP Víctor Longo (HUR)</br>85 GOL Dante Sanabria (HUR),45,90,0,0
03/12/1978,Cayetano,local,empate,3,3,Chacarita Juniors,9° fecha del Campeonato Nacional 1978,Tomás A. Ducó,Veiró,"Jesús Borzi; Miguel Flores, Clide Díaz, René Daulte y Jorge Carrascosa; Miguel Gallardo, Juan E Strak (60 Carlos De Marta) y Carlos Babington; Rubén Romano, René Houseman y Dante Sanabria.","Vivalda; Commisso, Pena, Maletti y Lavorato; Astudillo, Tarantino e Ischia; Benítez (85 Pintos), Rodríguez y Gizzi.",foto,32 GOL Commisso (CHJ)</br>52 GOL Astudillo (CHJ)</br>62 GOL Rodríguez (CHJ)</br>63 GOL Carlos Babington (HUR)</br>67 GOL Carlos Babington (HUR) -penal-</br>73 GOL René Houseman (HUR)</br>84 EXP Commisso,45,90,0,0
06/12/1978,Cayetano,visitante,empate,1,1,Patronato (Paraná) ,10° fecha del Campeonato Nacional 1978,Patronato (Paraná),Clerc,"Jesús Borzi; Rolando Pierucci, Clide Díaz, René Daulte y Jorge Carrascosa; Miguel Gallardo, Carlos De Marta y Carlos Babington; René Houseman, Rubén Romano y Dante Sanabria.","Amoroso; Vicente, Mudry, Humhofe y Sosa; Taboada Rojas, Belloni (76 Aguilar) y Brunengo; Pesoa, González y Corona (79 Peiffer).",foto,36 GOL Carlos Babington (HUR)</br>48 GOL Carlos Babington (HUR) -penal-</br>52 EXP Miguel Gallardo (HUR),45,90,0,0
