Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,Foto,Incidencias,Fin1T,Fin2T,Fin1E,Fin2E
05/05/1918,A Alberti,visitante,victoria,2,0,San Lorenzo de Almagro,Fase preliminar de Copa de Honor 1918,La Plata 1700,Germán Guassoni,"Francisco Pazos; Neptalí Acosta y Agustín Alberti; Natalio Carabelli, Mario Bassadone y Porzio; Miguel Ginevra, José Laguna, Humberto Bassadone, José Soula y Jaime Chavin.","José Coll; A Coll y Gaddi; J Lanterno, Barrera y Urso; Passarelli, A Lanterno, Pirolo, Eduardo y Vitale.",foto,54 GOL Miguel Ginevra (HUR)</br>65 GOL José Laguna (HUR)</br>79 EXP Porzio (HUR),45,90,0,0
09/05/1918,A Alberti,local,empate,0,0,San Lorenzo de Almagro,4° fecha del Campeonato 1918,Chiclana 4100,Juan P. Barbera,"Francisco Pazos; Neptalí Acosta y Agustín Alberti; Natalio Carabelli, Mario Bassadone y Pedro Martínez; Miguel Ginevra, José Laguna, Alfredo Larmeu, José Soula y Jaime Chavin.","José Coll; A Coll y Gaddi; J Lanterno, Barrera y Urso; A Lanterno, Colla, Bustos, Cuaderni y Pirolo.",foto,1 Tiempo: Huracán 0x0 San Lorenzo,45,90,0,0
12/05/1918,A Alberti,visitante,empate,1,1,Argentino de Quilmes,5° fecha del Campeonato 1918,La Barranca,Calixto Gardi,"Francisco Pazos; Neptalí Acosta y Agustín Alberti; Ramón Vázquez, Mario Bassadone y Pedro Martínez; Miguel Ginevra, José Laguna, Alfredo Larmeu, José Soula y Jaime Chavin.","Rotondo; R Martínez y Ortega; Capurro, Ávila y Chevallier; Fraga Patrao, Cabano, Guillermo Dannaher, Ventura y Poso.",foto,39 GOL Ventura (ADQ)</br>58 GOL Alfredo Larmeu (HUR),45,90,0,0
26/05/1918,A Alberti,visitante,derrota,0,3,Defensores de Belgrano,Amistoso 1918,Defensores de Belgrano,desconocido,"Francisco Pazos; Neptalí Acosta y Agustín Alberti; Natalio Carabelli, Mario Bassadone y Pedro Martínez; Miguel Ginevra, José Laguna, Humberto Bassadone, Alfredo Larmeu y Jaime Chavin.","Maffe; Sacco y Molinari; Cortella, Pasquale y Davide; D Luna, A Luna, Giulidori, Caldas y Roldán.",foto,26 GOL Caldas (DDB)</br>64 GOL Caldas (DDB)</br>58 GOL Pasquale (DDB),45,90,0,0
30/05/1918,A Alberti,visitante,empate,0,0,Ferro C. Oeste,7° fecha del Campeonato 1918,Caballito,Germán Guassoni,"Francisco Pazos; Neptalí Acosta y Agustín Alberti; Vicente Gordo, Mario Bassadone y Pedro Martínez; Miguel Ginevra, José Laguna, Humberto Bassadone, Bru y Jaime Chavin.","Garbagnatti; Elordi y A Pini; Triman, Santos Barbera y Sacardo; Mirassou, Di Lorenzo, José Pezzutti, J Pini y Crespo.",foto,1° Tiempo: Ferro 0x0 Huracán,45,90,0,0
02/06/1918,A Alberti,local,victoria,2,1,Platense,1° fase de Copa Competencia 1918,Chiclana 4100,Romeo Yametti,"Francisco Pazos; Neptalí Acosta y J Vázquez; Vicente Gordo, Mario Bassadone y Pedro Martínez; Miguel Ginevra, José Laguna, Agustín Alberti, Torres y Jaime Chavin.","Cositorto; Ansaldo y Colli; D Santángelo, Zaccheo y Felisari; Sinigaglia, Balmaceda, A Santángelo, Pérez y Aguilar.",foto,10 GOL Torres (HUR)</br>40 GOL José Laguna (HUR)</br>89 GOL Pérez (PLA),45,90,0,0
09/06/1918,A Alberti,local,derrota,0,2,Boca Juniors,1° fase de Copa de Honor 1918,Chiclana 4100,Juan P. Barbera,"Francisco Pazos; Agustín Alberti y Naptalí Acosta; Natalio Carabelli, Mario Bassadone y Pedro Martínez; Miguel Ginevra, José Laguna, Vicente Gordo, Torres y Jaime Chavin.","Américo Tesoriere; Anglese y Aquila; López, Pieralini y Elli; Pedro Calomino, Garasini, Martín, Brichetto y Valenzano.",foto,7 GOL Brichetto (BJU)</br>27 GOL Brichetto (BJU),45,90,0,0
10/06/1918,A Alberti,visitante,derrota,0,2,Gimnasia y Esgrima (La Plata),8° fecha del Campeonato 1918,Meridiano V (La Plata),Teodoro Langenheim,"Francisco Pazos; Neptalí Acosta y Agustín Alberti; Vicente Gordo, Mario Bassadone y Pedro Martínez; Miguel Ginevra, José Laguna, Márquez, Torres y Jaime Chavin.","Fernández; Sancet e Iglesias; Naón, Felices y Guruciaga; Curell, Bulla, José Caldera, Martín Salvarredi y Luis Caldera.",foto,64 GOL José Caldera (GLP)</br>87 GOL Luis Caldera (GLP),45,90,0,0
30/06/1918,A Alberti,local,empate,1,1,Boca Juniors,9° fecha del Campeonato 1918,Chiclana 4100,Germán Guassoni,"Francisco Pazos; Neptalí Acosta y Agustín Alberti; Vicente Gordo, Mario Bassadone y Pedro Martínez; Miguel Ginevra, José Laguna, José Pezzutti, Márquez y Jaime Chavin.","Américo Tesoriere; Capelletti y Anglese; López, Pieralini y Elli; Pedro Calomino, Garasini, Martín, Brichetto y Valenzano.",foto,5 GOL Brichetto (BJU)</br>33 GOL Márquez (HUR),45,90,0,0
07/07/1918,A Alberti,visitante,derrota,0,1,Gimnasia y Esgrima (La Plata),2° fase de Copa Competencia 1918,Meridiano V (La Plata),Enrique Rolón,"Francisco Pazos; Neptalí Acosta y Agustín Alberti; Vicente Gordo, Mario Bassadone y Pedro Martínez; Miguel Ginevra, José Laguna, José Mazzone, Márquez y Jaime Chavin.","Fernández; Sancet y Bulla; Naón, Felices y Negri; Curell, Bardi, José Caldera, Martín Salvarredi y Luis Caldera.",foto,83 GOL Bardi (GLP),45,90,0,0
