Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,Foto,Incidencias,Fin1T,Fin2T,Fin1E,Fin2E
10/11/1933,Martínez,local,victoria,2,1,Estudiantes (La Plata),2° fecha del Béccar Varela 1933,La Quema,Bartolomé Macías,"Juan A Estrada; Pascual Di Paola y Jorge Alberti; Miguel Prestipino, Máximo Federici y Francisco Martínez; Carlos Belfiore, Juan A Rivarola, Arturo Naveira, Antonio Tarrada y De los Santos.","Ángel Capuano; Julio Silveyra y Armando Nery; Bonifacio Martín, Roberto Sbarra y Raúl Sbarra; Miguel Lauri, Daniel Sabio, Alberto Zozaya, Xenofonte Marconi e Iván De la Villa.",foto,4 GOL Máximo Federici (HUR) -cañonazo de 15m tras rechazo rival-</br>5 GOL Carlos Belfiore (HUR) -cañonazo tras asistencia de Arturo Naveira (HUR)-</br>80 GOL Daniel Sabio (ELP) -centro asistido por De la Villa (ELP)-,45,90,0,0
17/12/1933,Martínez,local,derrota,1,2,Platense,3° fecha del Béccar Varela 1933,La Quema,Cirilo Garigliano,"Juan A Estrada; Jorge Alberti y Emilio Moyano; Miguel Prestipino, Máximo Federici y Francisco Martínez; Carlos Belfiore, Juan A Rivarola, Herminio Masantonio, José Cordero y Alejandro De los Santos.","Alfredo Baranzini; Osvaldo Corral y Luis Ferrario; Ismael Arrese, Cataldo Spitale y Mario Pajoni; Antonio Campilongo, José Pérez, Pascual Reyes Molina, Luis Amaya y Miguel Pantó.",foto,3 GOL Luis Amaya (PLA) -tomó un rechazo del arquero-</br>36 GOL Luis Amaya -centro asistencia de Miguel Pantó (PLA)-</br>64 GOL Herminio Masantonio (HUR) -cañonazo tras pared asistida por José Cordero (HUR)-,45,90,0,0
24/12/1933,Martínez,visitante,empate,2,2,San Lorenzo de Almagro,4° fecha del Béccar Varela 1933,La Quema,Pedro Etchenique,"Oscar Bermúdez; Jorge Alberti y Emilio Moyano; Miguel Prestipino, Máximo Federici y Francisco Martínez; Carlos Belfiore, Juan A Rivarola, Herminio Masantonio, Antonio Tarrada y Alejandro De los Santos.","Jaime Lema; Rodolfo Chiesa y Rafael Amadei; Juan Baigorria, Mario Scavone y Cipriano Accinelli; Eduardo Gómez, Jacinto Villalba, Tomás Loyarte, Diego García y Arturo Arrieta.",foto,7 GOL Tomás Loyarte (SLO) -cabeceó un tiro libre asistido por Eduardo Gómez (SLO)</br>33 GOL Jacinto Villalba (GOL) -tiro rasante-</br>34 GOL Herminio Masantonio (HUR) -remató tras eludir rivales-</br>74 GOL Herminio Masantonio (HUR) -tiró a la carrera-,45,90,0,0
06/01/1934,Martínez,neutral,victoria,3,2,Argentinos Juniors,Fase Preliminar (Consuelo) del Béccar Varela 1933,Caballito,Pedro Etchenique,"Juan A Estrada; Pascual Di Paola y Jorge Alberti; Miguel Prestipino, Máximo Federici y Francisco Martínez; Carlos Belfiore, Juan A Rivarola, Arturo Naveira, Antonio Tarrada y Alejandro De los Santos.","Jaime Rotman; Luis Vasini y Oscar Zappa; Enrique Vernieres, José Cardoso y Blas Lobianco; Juan C Bozzolo, José Saccone, Juan M Bongiovanni, Francisco Rodríguez y Julio Bottini.",foto,23 GOL Juan M Bongiovanni (AJU) -esquivó rivales y pateó de cerca-</br>1° Tiempo: Huracán 0x1 Argentinos</br>54 GOL Arturo Naveira (HUR) -de arremetida tras rechazo del arquero-</br>76 GOL Alejandro De los Santos (HUR) -tiro corto en corner asistido por Antonio Tarrada (HUR)-</br>82 GOL Francisco Rodríguez (AJU) -de sobrepique tras asistencia de Juan M Bongiovanni (AJU)-</br>2° Tiempo: Huracán 2x2 Argentinos</br>-Tiempo Extra-</br>96 GOL Alejandro De los Santos (HUR) -fuerte a un ángulo tras cabezazo de asistencia de Carlos Belfiore</br>(HUR)-,45,90,105,120
10/01/1934,Martínez,neutral,victoria,4,1,Quilmes,1° fase (Consuelo) del Béccar Varela 1933,La Paternal,Adolfo Mendilaharzu,"Juan A Estrada; Pascual Di Paola y Jorge Alberti; Manuel Villar, Máximo Federici y Serafín Fernández; Carlos Belfiore, Juan A Rivarola, Herminio Masantonio, Daniel Bálsamo y Alejandro De los Santos.","Ezequiel Aranda; Emilio Ravignani y Marcial Rodríguez; Fortunato Androssi, Julio Murúa y Pedro Martín; Juan C Mandile, Oscar Perelli, Ramón Páez, Mario Ricordi y Luis Fernández.",foto,2 GOL Herminio Masantonio (HUR) -cabezazo tras asistencia de Alejandro De los Santos (HUR)-</br>12 GOL Herminio Masantonio (HUR) -esquivó al arquero y pateó-</br>15 GOL Daniel Bálsamo (HUR) -asistencia de De los Santos (HUR)-</br>43 GOL Juan A Rivarola (HUR) -fuerte y rasante-</br>55 GOL Juan C Mandile (QAC)</br>58 LES Herminio Masantonio (HUR),45,90,0,0
21/01/1934,Martínez,neutral,victoria,3,1,Boca Juniors,Semifinal (Consuelo) del Béccar Varela 1933,Gasómetro,Bartolomé Macías,"Juan A Estrada; Pascual Di Paola y Jorge Alberti; Manuel Villar, Máximo Federici y Francisco Martínez; Jonás Martínez, Juan A Rivarola, Herminio Masantonio, Antonio Saturno y Alejandro De los Santos.","Luis Pardiés; Francisco Succo y José Marante; Antonio Alberino, Pedro Munt y Arico Suárez; Roberto Orlando, Guido Baztarrica, Luis Sánchez, Rafael Sanz y Tomás Garibaldi.",foto,15 LES Luis Sánchez (BJU)</br>27 GOL Herminio Masantonio (HUR) -eludió a Marante y pateó desde 20m-</br>58 GOL Herminio Masantonio (HUR) -larga asistencia de Francisco Martínez (HUR)-</br>72 GOL Herminio Masantonio (HUR) -asistencia Juan A Rivarola (HUR)-</br>84 GOL Tomás Garibaldi (BJU) -asistencia de Rafael Sanz (BJU)-,45,90,0,0
27/01/1934,Martínez,neutral,victoria,2,1,Lanús,Final (Consuelo) del Béccar Varela 1934,Gasómetro,Adolfo Mendilaharzu,"Juan A Estrada; Pascual Di Paola y Jorge Alberti; Manuel Villar, Máximo Federici y Francisco Martínez; Jonás Martínez, Juan A Rivarola, Herminio Masantonio, Antonio Saturno y Alejandro De los Santos.","José Pérez; Luis Villa y Sabino Coletta; C Vacca, Marcos Encina y Federico Manfrín; Andrés Maineri, Anselmo Pintado, Juan Penner, Juan Meraldi y Francisco Pusino.",foto,1 LES Herminio Masantonio (HUR)</br>15 EXP Máximo Federici (HUR)</br>15 EXP Federcio Manfrín (LAN)</br>30 GOL Antonio Saturno (HUR) -asistencia de Juan A Rivarola (HUR)-</br>35 GOL Juan Meraldi (LAN) -tomó rebote del arquero-</br>43 GOL Juan A Rivarola (HUR) -eludió a rivales desde mitad de cancha y tiró de corta distancia-</br>1° Tiempo: Huracán 2x1 Lanús,45,90,0,0
18/03/1934,Martínez,local,derrota,0,4,Boca Juniors,1° fecha del Campeonato 1934,La Quema,Consolatto Nai Foino,Huracán,rival,foto,sin datos,45,90,0,0
01/04/1934,Martínez,visitante,derrota,0,1,Chacarita Juniors,2° fecha del Campeonato 1934,Chacarita Juniors,Ricardo Riestra,Huracán,rival,foto,sin datos,45,90,0,0
08/04/1934,Martínez,local,derrota,0,3,San Lorenzo de Almagro,3° fecha del Campeonato 1934,La Quema,Domingo Solari,Huracán,rival,foto,sin datos,45,90,0,0
